"week","year","spain","france","italy","poland","age","gender"
20,2020,-4,0,2.4,-2.6,"0-5","F"
20,2021,2,-7,-5.6,6.4,"0-5","F"
21,2020,-4.8,-9.8,-3.8,-3.8,"0-5","F"
21,2021,-2.8,-8.8,-2.8,0.199999999999999,"0-5","F"
22,2020,-1.2,-4.4,-7.6,-1.6,"0-5","F"
22,2021,3.8,1.6,-10.6,-3.6,"0-5","F"
23,2020,-0.4,3.8,0.800000000000001,-7.2,"0-5","F"
23,2021,-1.4,-7.2,-11.2,1.8,"0-5","F"
24,2020,-2.2,-6.2,-8.8,0.199999999999999,"0-5","F"
24,2021,1.8,-5.2,-8.8,-1.8,"0-5","F"
25,2020,-4.4,5.2,-8.4,-1.4,"0-5","F"
25,2021,-0.4,3.2,-6.4,-0.4,"0-5","F"
26,2020,0.800000000000001,0.199999999999999,-0.6,-2.6,"0-5","F"
26,2021,0.800000000000001,2.2,-1.6,1.4,"0-5","F"
27,2020,-2.8,-11.2,-4.2,0.800000000000001,"0-5","F"
27,2021,-0.800000000000001,-7.2,-4.2,-7.2,"0-5","F"
28,2020,-5.8,-8,-0.800000000000001,-2.8,"0-5","F"
28,2021,1.2,-2,-2.8,-4.8,"0-5","F"
29,2020,-2.6,-10.4,-3.6,-4.6,"0-5","F"
29,2021,-6.6,2.6,-6.6,0.4,"0-5","F"
30,2020,-1.8,2,-10.8,-4.8,"0-5","F"
30,2021,1.2,-7,-2.8,-3.8,"0-5","F"
31,2020,-0.6,-6.6,-2.4,-2.4,"0-5","F"
31,2021,1.4,3.4,NA,-2.4,"0-5","F"
32,2020,-6,-7,-3,-3,"0-5","F"
32,2021,-5,8,NA,3,"0-5","F"
33,2020,0.2,-3.2,-4.6,-1.6,"0-5","F"
33,2021,4.2,-7.2,NA,-5.6,"0-5","F"
34,2020,-5.6,-10,-5.4,-0.4,"0-5","F"
34,2021,2.4,-17,NA,2.6,"0-5","F"
35,2020,1,-1,-4,0,"0-5","F"
35,2021,3,4,NA,1,"0-5","F"
36,2020,-5.8,-0.800000000000001,0.6,-1.4,"0-5","F"
36,2021,-0.800000000000001,-0.800000000000001,NA,-2.4,"0-5","F"
37,2020,-0.800000000000001,-0.399999999999999,-6.4,0.6,"0-5","F"
37,2021,2.2,4.6,NA,NA,"0-5","F"
38,2020,-6,1.2,-0.800000000000001,-4.8,"0-5","F"
38,2021,0,NA,NA,NA,"0-5","F"
39,2020,-4.8,1.4,-5,0,"0-5","F"
40,2020,-1.4,7.2,-1.2,1.8,"0-5","F"
41,2020,-5.2,-2.6,-5.4,-4.4,"0-5","F"
42,2020,-2,-2.6,2.2,-0.800000000000001,"0-5","F"
43,2020,-1,-7.8,1.2,-1.8,"0-5","F"
44,2020,0.6,-6.4,-5.2,5.8,"0-5","F"
45,2020,-10.6,-4.4,-4.2,-4.2,"0-5","F"
46,2020,-2.8,9.6,-1.2,-8.2,"0-5","F"
47,2020,-8,3.8,-2.4,-0.4,"0-5","F"
48,2020,-3,-8.6,-7,-3,"0-5","F"
49,2020,-3.2,1.6,2,-4,"0-5","F"
50,2020,-10.6,-7.6,-10,-5,"0-5","F"
51,2020,-1.2,-2.4,-3.8,1.2,"0-5","F"
52,2020,-5.8,1.2,-5,0,"0-5","F"
53,2020,-6,7,-9,0,"0-5","F"
1,2020,-0.4,3.2,-1.6,-0.6,"5-9","M"
1,2021,-1.4,-3.8,1.4,-0.6,"5-9","M"
2,2020,-0.4,-0.6,-1.2,0.8,"5-9","M"
2,2021,0.6,5.4,-2.2,-1.2,"5-9","M"
3,2020,0.4,-1.6,-1,0,"5-9","M"
3,2021,-0.6,-1.6,1,2,"5-9","M"
4,2020,2.6,1.6,-2.4,-1.4,"5-9","M"
4,2021,-0.4,-1.4,1.6,-1.4,"5-9","M"
5,2020,0.4,-1.4,2.4,1.4,"5-9","M"
5,2021,-1.6,-1.4,-2.6,-1.6,"5-9","M"
6,2020,0.8,-2,-0.6,-0.6,"5-9","M"
6,2021,0.8,-3,-0.6,-0.6,"5-9","M"
7,2020,-0.4,-0.6,-1.4,1.6,"5-9","M"
7,2021,-1.4,-1.6,-0.4,-0.4,"5-9","M"
8,2020,-0.6,-0.4,1.6,-0.4,"5-9","M"
8,2021,-2.6,4.6,-1.4,-0.4,"5-9","M"
9,2020,-2.4,1.4,0.4,-0.6,"5-9","M"
9,2021,-2.4,-0.6,-1.6,0.4,"5-9","M"
10,2020,-1,-0.2,3.6,1.6,"5-9","M"
10,2021,-2,-0.2,0.6,-3.4,"5-9","M"
11,2020,0.6,0.8,-0.4,-0.4,"5-9","M"
11,2021,1.6,2.8,0.6,1.6,"5-9","M"
12,2020,-0.2,4.2,-0.8,-0.8,"5-9","M"
12,2021,3.8,2.2,-0.8,0.2,"5-9","M"
13,2020,-3.2,2.2,1,0,"5-9","M"
13,2021,-2.2,-1.8,0,0,"5-9","M"
14,2020,0.2,1,-1.6,-0.6,"5-9","M"
14,2021,-1.8,-3,0.4,1.4,"5-9","M"
15,2020,-0.6,-3.8,-1.8,-0.8,"5-9","M"
15,2021,0.4,0.2,-1.8,0.2,"5-9","M"
16,2020,-2,-0.4,-2,-3,"5-9","M"
16,2021,1,-0.4,-1,-3,"5-9","M"
17,2020,-0.4,-1.2,-0.6,-1.6,"5-9","M"
17,2021,2.6,-0.2,-1.6,-1.6,"5-9","M"
18,2020,-1.2,1,-2.4,-0.4,"5-9","M"
18,2021,0.8,2,-0.4,-2.4,"5-9","M"
19,2020,-1.8,-2.8,-1,1,"5-9","M"
19,2021,0.2,-1.8,0,1,"5-9","M"
20,2020,-2.6,-2,-0.8,-0.8,"5-9","M"
20,2021,-1.6,-1,1.2,1.2,"5-9","M"
21,2020,-2.4,-0.4,-1,-3,"5-9","M"
21,2021,0.6,2.6,0,-3,"5-9","M"
22,2020,0,6.2,-1.4,-0.4,"5-9","M"
22,2021,-1,-0.8,-0.4,-1.4,"5-9","M"
23,2020,1.6,1.8,-0.2,-2.2,"5-9","M"
23,2021,-0.4,1.8,-2.2,-2.2,"5-9","M"
24,2020,-1.6,1,0,3,"5-9","M"
24,2021,-1.6,4,0,-2,"5-9","M"
25,2020,-2,2.4,2,4,"5-9","M"
25,2021,2,-0.6,2,1,"5-9","M"
26,2020,-0.8,-0.6,-0.2,-1.2,"5-9","M"
26,2021,-1.8,1.4,1.8,-1.2,"5-9","M"
27,2020,0.6,1.2,-2.4,0.6,"5-9","M"
27,2021,-1.4,-1.8,-1.4,-3.4,"5-9","M"
28,2020,1.2,0,-3.2,-3.2,"5-9","M"
28,2021,-0.8,-1,-1.2,-0.2,"5-9","M"
29,2020,-0.4,-1.4,0,-1,"5-9","M"
29,2021,0.6,-1.4,-2,2,"5-9","M"
30,2020,-1,2,-1.8,0.2,"5-9","M"
30,2021,3,2,1.2,-0.8,"5-9","M"
31,2020,0.6,2.6,-3.2,-3.2,"5-9","M"
31,2021,-2.4,-4.4,NA,-2.2,"5-9","M"
32,2020,-1.4,1.6,1,0,"5-9","M"
32,2021,0.6,2.6,NA,1,"5-9","M"
33,2020,-1.2,2.4,-0.4,-1.4,"5-9","M"
33,2021,-0.2,0.4,NA,-3.4,"5-9","M"
34,2020,-1.6,-2.6,-1.2,-3.2,"5-9","M"
34,2021,-1.6,-1.6,NA,-2.2,"5-9","M"
35,2020,0.8,-1.2,-0.2,1.8,"5-9","M"
35,2021,-0.2,0.8,NA,2.8,"5-9","M"
36,2020,-1,-0.2,-1.2,-1.2,"5-9","M"
36,2021,1,3.8,NA,0.8,"5-9","M"
37,2020,-1.2,-1,-1.6,0.4,"5-9","M"
37,2021,-1.2,1,NA,NA,"5-9","M"
38,2020,-0.8,-1.6,-1,0,"5-9","M"
38,2021,1.2,NA,NA,NA,"5-9","M"
39,2020,-1.4,-2.2,-1.6,-0.6,"5-9","M"
40,2020,-1,0.4,-2.2,-1.2,"5-9","M"
41,2020,-1,-1.4,2,0,"5-9","M"
42,2020,-0.8,-1.4,-0.4,-0.4,"5-9","M"
43,2020,-1.2,-0.4,-0.6,-0.6,"5-9","M"
44,2020,0.6,-1.2,-0.4,0.6,"5-9","M"
45,2020,-0.6,-0.8,-0.4,-0.4,"5-9","M"
46,2020,-0.8,0.6,-2.4,0.6,"5-9","M"
47,2020,-2,-3,0.4,-1.6,"5-9","M"
48,2020,0.8,-1.2,-2,0,"5-9","M"
49,2020,-1.2,0,0.6,-0.4,"5-9","M"
50,2020,-1.6,-3.4,3,2,"5-9","M"
51,2020,-2,0.8,0.8,-0.2,"5-9","M"
52,2020,1.6,-0.8,-1.2,-0.2,"5-9","M"
53,2020,1,-7,-2,-4,"5-9","M"
1,2020,-0.8,2,-0.6,-0.6,"5-9","F"
1,2021,1.2,-1,1.4,-0.6,"5-9","F"
2,2020,1.2,-1.8,-0.2,-2.2,"5-9","F"
2,2021,-0.8,1.2,-1.2,-2.2,"5-9","F"
3,2020,0.6,-1.4,2,-1,"5-9","F"
3,2021,-0.4,-0.4,1,1,"5-9","F"
4,2020,1.8,0.2,-1,0,"5-9","F"
4,2021,-1.2,0.2,-1,-2,"5-9","F"
5,2020,1.2,-1.6,-1.6,0.4,"5-9","F"
5,2021,1.2,-0.6,1.4,-0.6,"5-9","F"
6,2020,1.6,2.6,1.6,0.6,"5-9","F"
6,2021,-0.4,-0.4,-0.4,-1.4,"5-9","F"
7,2020,-1,-2.6,-0.6,-0.6,"5-9","F"
7,2021,-2,-2.6,-0.6,1.4,"5-9","F"
8,2020,0.6,3,1.8,-1.2,"5-9","F"
8,2021,-1.4,-1,-0.2,-0.2,"5-9","F"
9,2020,-1.4,-1.8,-1,-1,"5-9","F"
9,2021,-1.4,0.2,-1,-1,"5-9","F"
10,2020,0,-3.8,0,1,"5-9","F"
10,2021,0,-1.8,1,0,"5-9","F"
11,2020,-1.2,1.8,3.8,-0.2,"5-9","F"
11,2021,-1.2,-3.2,-0.2,2.8,"5-9","F"
12,2020,-1.4,-0.8,-0.8,-0.8,"5-9","F"
12,2021,0.6,1.2,0.2,-1.8,"5-9","F"
13,2020,1.4,2.4,-1.6,-0.6,"5-9","F"
13,2021,0.4,5.4,-0.6,1.4,"5-9","F"
14,2020,-2,2.4,1,0,"5-9","F"
14,2021,0,-2.6,-2,-1,"5-9","F"
15,2020,-1.8,-0.2,1.4,3.4,"5-9","F"
15,2021,-1.8,-2.2,1.4,0.4,"5-9","F"
16,2020,-0.2,-1.2,-1.2,-2.2,"5-9","F"
16,2021,-0.2,-0.2,-0.2,-0.2,"5-9","F"
17,2020,0.2,-2.2,-1,0,"5-9","F"
17,2021,0.2,-3.2,0,1,"5-9","F"
18,2020,-1.6,1,0.8,-0.2,"5-9","F"
18,2021,-1.6,-1,-1.2,-0.2,"5-9","F"
19,2020,1.2,-1,1.2,-0.8,"5-9","F"
19,2021,2.2,2,-0.8,1.2,"5-9","F"
20,2020,0,0.4,-1.6,-1.6,"5-9","F"
20,2021,1,1.4,0.4,-1.6,"5-9","F"
21,2020,0.8,-0.6,-1.6,0.4,"5-9","F"
21,2021,-0.2,-1.6,-0.6,0.4,"5-9","F"
22,2020,1.8,-1.2,-2.8,-1.8,"5-9","F"
22,2021,0.8,-0.2,-1.8,-2.8,"5-9","F"
23,2020,2,-1.4,-0.4,1.6,"5-9","F"
23,2021,-1,1.6,-0.4,-1.4,"5-9","F"
24,2020,1.4,-0.4,-0.8,-0.8,"5-9","F"
24,2021,-0.6,-1.4,0.2,2.2,"5-9","F"
25,2020,-0.8,-1.8,-1.4,-1.4,"5-9","F"
25,2021,2.2,-1.8,0.6,-0.4,"5-9","F"
26,2020,0.8,-3.2,-0.6,0.4,"5-9","F"
26,2021,-0.2,-3.2,-1.6,2.4,"5-9","F"
27,2020,-0.6,0.8,-1.6,1.4,"5-9","F"
27,2021,-0.6,-2.2,0.4,-1.6,"5-9","F"
28,2020,0.4,-2.2,1,1,"5-9","F"
28,2021,2.4,-3.2,-1,0,"5-9","F"
29,2020,0.6,-1,0.6,-1.4,"5-9","F"
29,2021,-0.4,5,-0.4,0.6,"5-9","F"
30,2020,0.6,2.2,-0.4,-1.4,"5-9","F"
30,2021,3.6,0.2,-1.4,0.6,"5-9","F"
31,2020,0.2,-1.6,-1.4,-1.4,"5-9","F"
31,2021,-1.8,1.4,NA,-0.4,"5-9","F"
32,2020,-1.2,2.2,-0.6,-1.6,"5-9","F"
32,2021,0.8,-0.8,NA,-1.6,"5-9","F"
33,2020,-0.4,0.6,-0.2,-1.2,"5-9","F"
33,2021,0.6,1.6,NA,-2.2,"5-9","F"
34,2020,-0.6,-1.8,0,-2,"5-9","F"
34,2021,-0.6,2.2,NA,-2,"5-9","F"
35,2020,-1.2,0,1,0,"5-9","F"
35,2021,-0.2,0,NA,-1,"5-9","F"
36,2020,-0.4,-2.8,0,-2,"5-9","F"
36,2021,0.6,-2.8,NA,-2,"5-9","F"
37,2020,3.4,0.2,0.2,0.2,"5-9","F"
37,2021,-0.6,-0.8,NA,NA,"5-9","F"
38,2020,-1,-2.2,0,-2,"5-9","F"
38,2021,3,NA,NA,NA,"5-9","F"
39,2020,-0.2,-2.8,-1.4,0.6,"5-9","F"
40,2020,-0.4,-4.4,-1,1,"5-9","F"
41,2020,-1.4,-0.8,4,-1,"5-9","F"
42,2020,-1.2,1.2,-1.4,-0.4,"5-9","F"
43,2020,-0.2,-1.2,-1.6,0.4,"5-9","F"
44,2020,0,0,0,2,"5-9","F"
45,2020,-1,3.8,-1.6,-1.6,"5-9","F"
46,2020,-0.6,-1.2,0.2,0.2,"5-9","F"
47,2020,-0.4,-1.6,-0.6,0.4,"5-9","F"
48,2020,-0.4,-1.2,-0.6,-0.6,"5-9","F"
49,2020,-2,-2.8,-1,0,"5-9","F"
50,2020,-1.4,1,-0.8,-1.8,"5-9","F"
51,2020,-0.2,0,-0.8,-1.8,"5-9","F"
52,2020,1.2,-3.6,-1.4,0.6,"5-9","F"
53,2020,0,0,-1,-1,"5-9","F"
1,2020,-0.6,-2.4,-2.8,-2.8,"10-14","M"
1,2021,2.4,-0.4,-1.8,-2.8,"10-14","M"
2,2020,-0.4,2.6,-3.2,-1.2,"10-14","M"
2,2021,-0.4,-1.4,-1.2,-1.2,"10-14","M"
3,2020,1.4,2.4,0.2,-1.8,"10-14","M"
3,2021,-1.6,1.4,-2.8,3.2,"10-14","M"
4,2020,0,-1.8,-0.4,-0.4,"10-14","M"
4,2021,0,3.2,-0.4,-0.4,"10-14","M"
5,2020,-0.6,2.4,0.8,-0.2,"10-14","M"
5,2021,2.4,-0.6,-1.2,2.8,"10-14","M"
6,2020,-0.2,1.2,-1.4,-3.4,"10-14","M"
6,2021,1.8,-1.8,-3.4,-4.4,"10-14","M"
7,2020,-3.6,3.2,-0.4,0.6,"10-14","M"
7,2021,-2.6,2.2,-0.4,-0.4,"10-14","M"
8,2020,-2.6,-3,1.4,2.4,"10-14","M"
8,2021,0.4,-3,-2.6,2.4,"10-14","M"
9,2020,-0.6,-1.2,-1.6,-3.6,"10-14","M"
9,2021,5.4,-0.2,-2.6,-3.6,"10-14","M"
10,2020,0,-3.2,-1,-2,"10-14","M"
10,2021,2,-2.2,-3,-2,"10-14","M"
11,2020,0.2,-3.2,2.4,-0.6,"10-14","M"
11,2021,-1.8,2.8,-1.6,0.4,"10-14","M"
12,2020,0.8,1.2,0,-2,"10-14","M"
12,2021,-2.2,0.2,-2,3,"10-14","M"
13,2020,4.6,-2.4,2,0,"10-14","M"
13,2021,0.6,0.6,0,0,"10-14","M"
14,2020,-0.2,2.6,0.4,0.4,"10-14","M"
14,2021,-1.2,3.6,-0.6,-0.6,"10-14","M"
15,2020,0.2,0.6,0.8,-1.2,"10-14","M"
15,2021,-1.8,2.6,-0.2,-1.2,"10-14","M"
16,2020,-0.4,-3,0.8,-1.2,"10-14","M"
16,2021,-1.4,2,0.8,-0.2,"10-14","M"
17,2020,0.6,-0.2,-1,-3,"10-14","M"
17,2021,-1.4,-0.2,0,-1,"10-14","M"
18,2020,0.4,-0.4,0.6,-0.4,"10-14","M"
18,2021,0.4,0.6,2.6,1.6,"10-14","M"
19,2020,-2.2,-1.6,-3.4,-3.4,"10-14","M"
19,2021,-1.2,-1.6,-2.4,-1.4,"10-14","M"
20,2020,-0.4,-1.2,-0.2,-1.2,"10-14","M"
20,2021,0.6,-0.2,-0.2,-2.2,"10-14","M"
21,2020,2.6,-1.2,0.4,-2.6,"10-14","M"
21,2021,1.6,-0.2,0.4,1.4,"10-14","M"
22,2020,1.4,2.8,-0.8,1.2,"10-14","M"
22,2021,-1.6,-0.2,-1.8,1.2,"10-14","M"
23,2020,-1.8,1.8,0,1,"10-14","M"
23,2021,-0.8,0.8,0,-2,"10-14","M"
24,2020,0.2,-1.2,1.8,-1.2,"10-14","M"
24,2021,4.2,-0.2,1.8,0.8,"10-14","M"
25,2020,-0.4,0,0.2,-0.8,"10-14","M"
25,2021,-0.4,1,2.2,-1.8,"10-14","M"
26,2020,0,0,-2,-1,"10-14","M"
26,2021,-1,1,-1,0,"10-14","M"
27,2020,0,-2.4,-0.8,1.2,"10-14","M"
27,2021,3,-1.4,3.2,-2.8,"10-14","M"
28,2020,-1.2,-2.2,-1,1,"10-14","M"
28,2021,-2.2,-4.2,0,-1,"10-14","M"
29,2020,-1,-0.2,-2.4,-0.4,"10-14","M"
29,2021,1,4.8,-3.4,-2.4,"10-14","M"
30,2020,1.6,0,1,1,"10-14","M"
30,2021,1.6,-3,0,1,"10-14","M"
31,2020,-1.8,4.4,-2.4,0.6,"10-14","M"
31,2021,-1.8,-0.6,NA,-2.4,"10-14","M"
32,2020,0.8,-1.2,-2.2,-4.2,"10-14","M"
32,2021,-1.2,-2.2,NA,-0.2,"10-14","M"
33,2020,1.4,1.6,2,-1,"10-14","M"
33,2021,0.4,2.6,NA,-1,"10-14","M"
34,2020,1.4,0,-2.4,-0.4,"10-14","M"
34,2021,-0.6,-3,NA,-2.4,"10-14","M"
35,2020,-2.2,-0.2,0.4,-2.6,"10-14","M"
35,2021,-0.2,2.8,NA,-0.6,"10-14","M"
36,2020,0.2,1.4,-1,0,"10-14","M"
36,2021,-0.8,2.4,NA,-3,"10-14","M"
37,2020,-0.4,-2.2,0.6,-1.4,"10-14","M"
37,2021,-0.4,-0.2,NA,NA,"10-14","M"
38,2020,-0.6,-2.6,0.2,0.2,"10-14","M"
38,2021,-1.6,NA,NA,NA,"10-14","M"
39,2020,1,3.4,0,-3,"10-14","M"
40,2020,-0.2,0.4,0.2,1.2,"10-14","M"
41,2020,0,-1.6,4.6,2.6,"10-14","M"
42,2020,0,2,-0.6,-1.6,"10-14","M"
43,2020,1.6,1,-1,-1,"10-14","M"
44,2020,-2.8,1,-0.6,-0.6,"10-14","M"
45,2020,0.8,-0.6,0.6,-0.4,"10-14","M"
46,2020,1.4,0.4,2,1,"10-14","M"
47,2020,-1,0.8,-1.4,-2.4,"10-14","M"
48,2020,-0.8,-0.8,0.2,2.2,"10-14","M"
49,2020,0,-0.6,0.6,-1.4,"10-14","M"
50,2020,-0.4,-1.4,-4,-4,"10-14","M"
51,2020,0,2.2,0.6,-0.4,"10-14","M"
52,2020,2.2,2.6,0.8,-2.2,"10-14","M"
53,2020,-2,3,1,-1,"10-14","M"
1,2020,0.6,-2.4,-0.6,0.4,"10-14","F"
1,2021,-0.4,-2.4,2.4,0.4,"10-14","F"
2,2020,0.4,-1.4,-1.6,-1.6,"10-14","F"
2,2021,-1.6,-0.4,-1.6,1.4,"10-14","F"
3,2020,-1.8,0,-1.6,-0.6,"10-14","F"
3,2021,-1.8,-3,-0.6,1.4,"10-14","F"
